id,value
"[Intersection and Partial View of Chrysler Building, From Roof of Chanin Building, New York City]",1929
"[Partial View of Chrysler Building, From Roof of Chanin Building, New York City]",1929
"[Partial View of Chrysler Building, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
"[Lincoln Building Construction Site, Forty-Second Street and Park Avenue, New York City]",1929
"[Lincoln Building Construction Site, Forty-Second Street and Park Avenue, New York City]",1929
"[Lincoln Building Construction Site, Forty-Second Street and Park Avenue, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Chrysler Building Construction, from Below, New York City]",1929
"[Hanns Skolle in Walker Evans's Apartment, 48 Columbia Heights, Brooklyn, New York]",1929
"[Railroad Tracks Detail, Brooklyn Bridge, New York City]",1929
"[""Royal Baking Powder"" Advertisement on Steps to Elevated Train Platform, Sixth Avenue, New York City]",1929
"[Graybar Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Lincoln Building Construction Site, Forty-Second Street and Park Avenue, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction Site, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, Possibly From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, Possibly From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building (?), New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building (?), New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
"[Chrysler Building Construction, From Roof of Chanin Building, New York City]",1929
[Stamped and Crushed Tin Architectural Fragment of Ionic Capital and Acanthus Leaf Motifs],1929
[Sam Loveman],1929
[Sam Loveman],1929
[Sam Loveman with Head in Hands],1929
"[Pedestrians, Fulton Street, New York City]",1929
"[Three 35mm Film Frames: Abstraction of Shadows and Light on Doorway and Mat, New York City]",1929
"[Three 35mm Film Frames: Woman in Fur Collar Next to Elevated Train Steps, Sixth Avenue at Forty-Second Street, New York City;  Partial View of Passing Bus in Front of High-Rise Building, New York City; Outdoor Shop Display of Mushrooms and Leeks in Baskets, New York City]",1929
"[Three 35mm Film Frames: Chrysler Building Construction Site, From Below, New York City]",1929
[Self-Portrait in Automated Photobooth],1929
"[Paul and Dorothy Grotz Seated Outdoors on Wooden Bench, Probably Darien, Connecticut]",1929
[Self-Portrait in Automated Photobooth],1929
"[Paul Grotz, Wearing Monocle and Maple Leaf on Chest (From Below), Probably Canada]",1929
"[Paul Grotz, Wearing Hat and Checked Coat in Crowd on Street, New York City]",1929
